projectMainBranch,newContributorCount,hasContrib,readmeUrl,recentContributorCount,recentCommitCount,originUrl
40638291,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:b98cd6950321e18cbcb5c979836952ba1bdc5980/raw/,2,412,https://github.com/iperov/DeepFaceLab
45159500,2,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:98c79557c0adbe230ac5d54bea62ad8cfd569825/raw/,7,130,https://github.com/Kr1s77/awesome-python-login-model
45429317,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:a15e5ad591ed6e37ec1b75ebc1c1de47dcda886d/raw/,2,8,https://github.com/hellerve/programming-talks
43406641,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:0139dd2576bb6447f4c64d75d81df6656be128c1/raw/,0,0,https://pypi.org/project/msrest/
43406091,2,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:97983379ccd3d8ce735efd9da165b901f9bbeae1/raw/,0,0,https://github.com/yuanxiaosc/DeepNude-an-Image-to-Image-technology
45678652,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:862f5f23e398ec88d88bad3343f4a55787672186/raw/,0,0,https://pypi.org/project/fire/
43029406,3,TRUE,null,6,210,https://github.com/encode/httpx
45651460,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:b90fd459f809202719f06605ec60cd1663566696/raw/,0,0,https://pypi.org/project/jsondiff/
44416403,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:48f0bdb02868c66399b8508d1d43d0a155ed0943/raw/,9,83,https://github.com/jackfrued/Python-100-Days
44979623,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:b045d56cbce821359fa63a450d3485b51b78bd8e/raw/,3,31,https://gitlab.com/tobimiller/mascor_px4_control.git
45591817,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:9886620e20db1b213feacdf1f21bf1147b904ad9/raw/,0,0,https://pypi.org/project/bandit/
