projectMainBranch,newContributorCount,hasContrib,readmeUrl,recentContributorCount,recentCommitCount,originUrl
45351410,1,TRUE,null,5,56,https://github.com/jazzband/django-taggit
45355641,0,FALSE,checked,2,78,https://github.com/Jrohy/multi-v2ray
45363100,10,TRUE,null,8,125,https://github.com/voila-dashboards/voila
45409109,0,FALSE,checked,1,5,https://gitlab.com/pyfml/prepare.git
45417797,0,FALSE,checked,2,23,https://github.com/wistbean/learn_python3_spider
45422070,1,FALSE,checked,0,0,https://gitlab.com/diegogangl/reflow.git
45424316,1,FALSE,checked,0,0,https://pypi.org/project/azure-mgmt-compute/
45429317,0,TRUE,checked,2,8,https://github.com/hellerve/programming-talks
45432450,1,TRUE,null,0,0,https://pypi.org/project/eli5/
45435434,0,TRUE,checked,3,99,https://github.com/taki0112/Tensorflow-Cookbook
45441291,1,FALSE,checked,0,0,https://pypi.org/project/Rx/
45441407,1,FALSE,checked,2,55,https://github.com/huashengdun/webssh
45445799,1,FALSE,checked,3,4,https://github.com/minimaxir/big-list-of-naughty-strings
45483887,1,FALSE,checked,1,12,https://gitlab.com/divisadero/cloud-functions-python-emulator.git
45493492,0,FALSE,checked,0,0,https://github.com/bbfamily/abu
45501175,2,FALSE,checked,6,14,https://github.com/openai/spinningup
45502574,0,FALSE,checked,1,1,https://github.com/seemoo-lab/opendrop
45519444,0,TRUE,null,2,14,https://github.com/rossant/awesome-math
45527559,0,TRUE,checked,6,25,https://github.com/rushter/MLAlgorithms
45528622,0,TRUE,null,8,37,https://github.com/jazzband/tablib
45530583,1,TRUE,null,0,0,deb://Debian/packages/gajim
45530843,1,FALSE,checked,0,0,https://pypi.org/project/XlsxWriter/
45535319,1,FALSE,null,0,0,deb://Debian/packages/pysatellites
45537915,1,FALSE,checked,1,3,https://gitlab.com/brombinmirko/Telegram_UnifiedBanBot.git
45543246,5,TRUE,null,22,511,https://github.com/OctoPrint/OctoPrint
45552821,2,FALSE,checked,4,65,https://github.com/dbader/schedule
45556374,0,FALSE,checked,1,1,https://github.com/Dod-o/Statistical-Learning-Method_Code
45569825,0,FALSE,checked,1,7,https://github.com/LazoCoder/Pokemon-Terminal
45571546,1,TRUE,null,0,0,deb://Debian/packages/python-cliff
45572677,1,FALSE,checked,0,0,deb://Debian/packages/python-geojson
45575183,2,TRUE,null,3,668,https://github.com/PySimpleGUI/PySimpleGUI
45578246,0,TRUE,null,2,7,https://github.com/deanishe/alfred-workflow
45586559,1,TRUE,checked,5,62,https://github.com/victoresque/pytorch-template
45588109,0,FALSE,checked,4,61,https://github.com/jopohl/urh
45590646,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-product-cost-history
45591817,1,TRUE,checked,0,0,https://pypi.org/project/bandit/
45598526,0,TRUE,null,4,150,https://gitlab.com/vstconsulting/polemarch.git
45602737,1,TRUE,checked,0,0,https://pypi.org/project/azure-storage-queue/
45605718,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-stock-location-sequence
45606600,1,FALSE,checked,7,132,https://github.com/smicallef/spiderfoot
45608101,3,FALSE,checked,7,88,https://github.com/ccrisan/motioneye
45608978,3,TRUE,null,13,103,https://gitlab.com/pycqa/flake8.git
45618777,2,TRUE,null,11,735,https://github.com/googleapis/google-cloud-python
45618995,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-account-invoice-stock
45619645,0,FALSE,checked,2,16,https://gitlab.com/tractor-team/carburetor.git
45621484,0,TRUE,checked,4,66,https://gitlab.com/pycqa/baron.git
45621522,1,FALSE,checked,0,0,deb://Debian/packages/seahorse-adventures
45621948,1,FALSE,checked,0,0,deb://Debian/packages/python-daemonize
45625977,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-party-relationship
45626971,1,FALSE,null,0,0,https://pypi.org/project/querystring-parser/
45629636,0,FALSE,checked,2,99,https://github.com/baowenbo/DAIN
45632811,1,FALSE,checked,0,0,https://pypi.org/project/azure-mgmt-signalr/
45633684,0,FALSE,checked,3,153,https://github.com/lancopku/pkuseg-python
45637866,1,FALSE,checked,0,0,deb://Debian/packages/python-monotonic
45642127,1,FALSE,checked,0,0,deb://Debian/packages/angrydd
45646425,0,FALSE,checked,4,130,https://gitlab.com/becheran/pysg.git
45647870,0,TRUE,null,1,9,https://github.com/facebookresearch/Detectron
45649024,1,FALSE,checked,4,9,https://github.com/eriklindernoren/Keras-GAN
45650348,1,FALSE,checked,0,0,deb://Debian/packages/ganyremote
45651246,1,FALSE,checked,3,29,https://github.com/drduh/macOS-Security-and-Privacy-Guide
45651460,1,FALSE,checked,0,0,https://pypi.org/project/jsondiff/
45651590,1,FALSE,checked,0,0,https://pypi.org/project/django-extensions/
45652911,0,FALSE,checked,0,0,https://github.com/NVIDIA/vid2vid
45653060,1,TRUE,null,0,0,https://pypi.org/project/kubernetes/
45653925,1,FALSE,checked,0,0,https://pypi.org/project/google-auth-oauthlib/
45655624,13,TRUE,checked,11,92,https://github.com/pytorch/tutorials
45660750,0,FALSE,checked,1,6,https://gitlab.com/edleh/pylote.git
45661429,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-sale-supply
45662235,0,FALSE,checked,3,5,https://github.com/NVIDIA/Megatron-LM
45663825,4,TRUE,null,24,709,https://github.com/apache/airflow
45666599,1,TRUE,null,0,0,https://pypi.org/project/ipywidgets/
45670057,3,TRUE,null,9,149,https://github.com/praw-dev/praw
45671040,1,FALSE,checked,0,0,deb://Debian/packages/nfoview
45673716,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-stock-supply-forecast
45675540,1,FALSE,checked,0,0,https://gitlab.com/diegogangl/IOR_reference.git
45676449,1,FALSE,checked,0,0,https://pypi.org/project/snowballstemmer/
45678152,1,FALSE,checked,0,0,deb://Debian/packages/pyosmium
45678169,0,FALSE,checked,4,67,https://github.com/lanpa/tensorboardX
45678558,1,FALSE,checked,0,0,deb://Debian/packages/python-hplefthandclient
45678652,1,FALSE,checked,0,0,https://pypi.org/project/fire/
45683823,1,TRUE,null,0,0,deb://Debian/packages/python-twitter
45684758,1,FALSE,checked,0,0,https://pypi.org/project/torch/
45685181,1,FALSE,checked,0,0,deb://Debian/packages/python-requestsexceptions
45685245,1,FALSE,checked,0,0,deb://Debian/packages/pydf
45689366,0,TRUE,null,5,187,https://gitlab.com/lu-ci/sigma/apex-sigma.git
45689884,1,FALSE,checked,1,5,https://github.com/JunMa11/SegLoss
45691338,1,TRUE,null,4,23,https://github.com/dwyl/english-words
